alpha,CL,CD,CDp,Cm,TopXtr,BotXtr,Cpmin,Chinge,XCp
-10.000,-1.0802,0.00821,0.00468,-0.0378,0.5148,0.0021,-15.2811,0.0000,0.2054
-8.000,-0.8259,0.00661,0.00280,-0.0302,0.4479,0.0031,-9.4661,0.0000,0.2064
-7.000,-0.7004,0.00607,0.00217,-0.0275,0.4118,0.0034,-7.2365,0.0000,0.2047
-5.000,-0.4525,0.00527,0.00125,-0.0236,0.3383,0.0068,-3.9933,0.0000,0.1931
-4.000,-0.3297,0.00504,0.00095,-0.0223,0.2960,0.0097,-2.7995,0.0000,0.1781
-3.000,-0.2076,0.00489,0.00073,-0.0212,0.2436,0.0171,-1.8605,0.0000,0.1435
-2.000,-0.0861,0.00479,0.00058,-0.0203,0.1931,0.0312,-1.1674,0.0000,0.0081
-1.000,0.0353,0.00474,0.00051,-0.0196,0.1540,0.0545,-0.7009,0.0000,0.8085
0.000,0.1566,0.00475,0.00051,-0.0190,0.1218,0.0807,-0.6305,0.0000,0.3696
1.000,0.2779,0.00481,0.00056,-0.0184,0.0976,0.1123,-0.8617,0.0000,0.3138
2.000,0.3992,0.00489,0.00067,-0.0179,0.0806,0.1527,-1.1269,0.0000,0.2916
3.000,0.5206,0.00501,0.00082,-0.0172,0.0683,0.2006,-1.4363,0.0000,0.2793
4.000,0.6423,0.00516,0.00103,-0.0165,0.0585,0.2584,-1.7990,0.0000,0.2711
5.000,0.7641,0.00534,0.00129,-0.0157,0.0493,0.3347,-2.2266,0.0000,0.2649
6.000,0.8861,0.00557,0.00161,-0.0146,0.0425,0.4263,-2.7317,0.0000,0.2599
7.000,1.0077,0.00595,0.00208,-0.0131,0.0329,0.5162,-3.3201,0.0000,0.2553
8.000,1.1298,0.00636,0.00260,-0.0114,0.0263,0.6107,-4.0084,0.0000,0.2510
9.000,1.2498,0.00703,0.00342,-0.0089,0.0164,0.7309,-4.7983,0.0000,0.2466
10.000,1.3614,0.00863,0.00524,-0.0048,0.0002,0.8502,-5.6665,0.0000,0.2414
13.000,1.7030,0.01234,0.00945,0.0099,0.0001,1.0000,-11.1181,0.0000,0.2262
14.000,1.8040,0.01420,0.01146,0.0174,0.0001,1.0000,-13.7449,0.0000,0.2200
15.000,1.8839,0.01647,0.01392,0.0280,0.0001,1.0000,-16.4637,0.0000,0.2124
16.000,1.8719,0.01917,0.01685,0.0502,0.0001,1.0000,-18.0293,0.0000,0.1984
17.000,1.8236,0.02595,0.02389,0.0648,0.0001,1.0000,-18.9515,0.0000,0.1874
18.000,1.7405,0.04233,0.04055,0.0625,0.0001,0.9995,-19.0047,0.0000,0.1846
19.000,1.5968,0.06846,0.06695,0.0487,0.0000,0.9993,-17.6401,0.0000,0.1878
20.000,1.3884,0.11032,0.10911,0.0183,0.0000,0.9996,-14.5126,0.0000,0.2038
21.000,1.1806,0.15750,0.15657,-0.0179,0.0001,0.9996,-10.7777,0.0000,0.2322
22.000,1.0974,0.18801,0.18723,-0.0392,0.0001,0.9994,-9.2737,0.0000,0.2527
23.000,1.0705,0.20959,0.20891,-0.0532,0.0001,0.9994,-8.8343,0.0000,0.2657
24.000,1.0655,0.22725,0.22663,-0.0642,0.0001,0.9993,-8.8410,0.0000,0.2748
25.000,1.0572,0.24629,0.24573,-0.0752,0.0001,0.9992,-8.5937,0.0000,0.2848
26.000,1.0622,0.26244,0.26193,-0.0845,0.0001,0.9992,-8.7003,0.0000,0.2916
27.000,1.0691,0.27827,0.27781,-0.0934,0.0000,0.9991,-8.8183,0.0000,0.2976
28.000,1.0772,0.29407,0.29364,-0.1019,0.0000,0.9990,-8.9238,0.0000,0.3031
29.000,1.0859,0.30986,0.30946,-0.1102,0.0000,0.9990,-9.0091,0.0000,0.3080
30.000,1.0949,0.32571,0.32534,-0.1181,0.0000,0.9989,-9.0682,0.0000,0.3124